,step,mnist-acc,mnistm-acc,domain-acc
153,1530.0,0.96875,0.65625,0.921875
154,1540.0,0.96875,0.46875,0.984375
155,1550.0,0.90625,0.71875,0.890625
156,1560.0,0.96875,0.4375,0.96875
157,1570.0,1.0,0.53125,0.90625
158,1580.0,1.0,0.71875,0.90625
159,1590.0,0.96875,0.53125,0.953125
160,1600.0,0.96875,0.65625,0.953125
161,1610.0,0.9375,0.6875,0.90625
162,1620.0,0.9375,0.625,0.90625
163,1630.0,0.90625,0.6875,0.984375
164,1640.0,0.96875,0.46875,0.890625
165,1650.0,1.0,0.625,0.984375
166,1660.0,0.9375,0.65625,0.890625
167,1670.0,0.96875,0.625,0.96875
168,1680.0,1.0,0.46875,0.90625
169,1690.0,1.0,0.6875,0.890625
170,1700.0,1.0,0.53125,0.890625
171,1710.0,0.96875,0.59375,0.96875
172,1720.0,1.0,0.6875,0.953125
173,1730.0,0.96875,0.6875,0.875
174,1740.0,1.0,0.71875,0.90625
175,1750.0,0.96875,0.46875,0.953125
176,1760.0,0.96875,0.53125,0.890625
177,1770.0,0.90625,0.59375,0.875
178,1780.0,1.0,0.75,0.90625
179,1790.0,0.96875,0.8125,0.890625
180,1800.0,0.96875,0.65625,0.890625
181,1810.0,0.96875,0.5625,0.90625
182,1820.0,1.0,0.4375,0.9375
183,1830.0,1.0,0.53125,0.9375
184,1840.0,1.0,0.46875,0.921875
185,1850.0,0.96875,0.65625,0.90625
186,1860.0,1.0,0.625,0.90625
187,1870.0,0.96875,0.5625,0.828125
188,1880.0,1.0,0.5625,0.96875
189,1890.0,0.9375,0.625,0.9375
190,1900.0,0.9375,0.5,0.953125
191,1910.0,1.0,0.6875,0.90625
192,1920.0,0.9375,0.78125,0.90625
193,1930.0,0.96875,0.40625,0.984375
194,1940.0,0.9375,0.75,0.859375
195,1950.0,1.0,0.5625,0.953125
196,1960.0,1.0,0.65625,0.875
197,1970.0,0.96875,0.53125,0.921875
198,1980.0,0.96875,0.625,0.984375
199,1990.0,1.0,0.59375,0.921875
200,2000.0,1.0,0.6875,0.90625
201,2010.0,0.96875,0.625,0.84375
202,2020.0,1.0,0.59375,0.796875
203,2030.0,1.0,0.28125,0.875
204,2040.0,1.0,0.625,0.9375
205,2050.0,0.96875,0.65625,0.890625
206,2060.0,0.96875,0.65625,0.890625
207,2070.0,0.96875,0.625,0.859375
208,2080.0,1.0,0.75,0.875
209,2090.0,1.0,0.59375,0.953125
210,2100.0,1.0,0.53125,0.890625
211,2110.0,1.0,0.53125,0.84375
212,2120.0,1.0,0.5,0.890625
213,2130.0,1.0,0.375,0.875
214,2140.0,1.0,0.59375,0.859375
215,2150.0,1.0,0.625,0.859375
216,2160.0,0.9375,0.53125,0.90625
