,step,mnist-acc,mnistm-acc,domain-acc
153,1530.0,0.6875,0.15625,0.953125
154,1540.0,0.84375,0.25,0.9375
155,1550.0,0.71875,0.25,0.875
156,1560.0,0.78125,0.1875,0.96875
157,1570.0,0.78125,0.25,0.96875
158,1580.0,0.78125,0.1875,0.90625
159,1590.0,0.875,0.25,0.921875
160,1600.0,0.71875,0.3125,0.859375
161,1610.0,0.6875,0.21875,0.890625
162,1620.0,0.6875,0.28125,0.953125
163,1630.0,0.90625,0.34375,0.90625
164,1640.0,0.84375,0.28125,0.953125
165,1650.0,0.84375,0.25,0.9375
166,1660.0,0.96875,0.25,0.96875
167,1670.0,0.875,0.34375,0.953125
168,1680.0,0.84375,0.125,1.0
169,1690.0,0.875,0.25,0.953125
170,1700.0,0.875,0.3125,0.96875
171,1710.0,0.9375,0.25,0.921875
172,1720.0,0.875,0.1875,0.96875
173,1730.0,0.96875,0.4375,0.953125
174,1740.0,0.875,0.21875,0.984375
175,1750.0,0.84375,0.34375,0.9375
176,1760.0,0.875,0.25,0.96875
177,1770.0,0.90625,0.28125,0.9375
178,1780.0,0.90625,0.15625,0.984375
179,1790.0,0.9375,0.3125,0.96875
180,1800.0,0.90625,0.40625,0.953125
181,1810.0,0.875,0.40625,0.96875
182,1820.0,0.875,0.15625,1.0
183,1830.0,0.9375,0.25,0.953125
184,1840.0,0.9375,0.53125,1.0
185,1850.0,0.9375,0.1875,0.96875
186,1860.0,0.90625,0.25,0.984375
187,1870.0,0.90625,0.28125,0.953125
188,1880.0,0.875,0.28125,0.921875
189,1890.0,0.90625,0.28125,0.96875
190,1900.0,0.84375,0.21875,0.953125
191,1910.0,0.9375,0.34375,0.953125
192,1920.0,0.875,0.3125,0.96875
193,1930.0,0.875,0.21875,0.96875
194,1940.0,0.875,0.3125,0.984375
195,1950.0,0.9375,0.28125,0.9375
196,1960.0,1.0,0.4375,0.96875
197,1970.0,0.90625,0.15625,0.90625
198,1980.0,0.8125,0.25,0.953125
199,1990.0,0.9375,0.34375,0.921875
200,2000.0,0.875,0.3125,0.953125
201,2010.0,0.875,0.375,0.953125
202,2020.0,0.90625,0.3125,0.9375
203,2030.0,0.96875,0.375,0.953125
204,2040.0,0.90625,0.4375,0.953125
205,2050.0,0.9375,0.34375,0.96875
206,2060.0,0.9375,0.34375,0.984375
207,2070.0,0.96875,0.3125,0.96875
208,2080.0,0.9375,0.3125,0.984375
209,2090.0,0.84375,0.4375,1.0
210,2100.0,0.90625,0.3125,0.96875
211,2110.0,1.0,0.53125,0.953125
212,2120.0,0.9375,0.25,0.953125
213,2130.0,0.90625,0.28125,0.96875
214,2140.0,0.9375,0.40625,0.984375
215,2150.0,1.0,0.3125,0.984375
216,2160.0,0.84375,0.34375,0.984375
217,2170.0,0.9375,0.46875,0.921875
218,2180.0,0.9375,0.3125,0.9375
219,2190.0,0.84375,0.15625,1.0
220,2200.0,0.96875,0.4375,0.9375
221,2210.0,0.96875,0.4375,1.0
222,2220.0,0.78125,0.46875,0.953125
223,2230.0,0.90625,0.4375,0.9375
224,2240.0,0.875,0.3125,0.96875
225,2250.0,1.0,0.34375,0.9375
226,2260.0,0.96875,0.4375,0.96875
227,2270.0,0.9375,0.40625,0.984375
228,2280.0,0.96875,0.28125,0.96875
229,2290.0,0.96875,0.5,0.9375
230,2300.0,0.9375,0.4375,0.96875
231,2310.0,0.875,0.375,0.953125
232,2320.0,0.96875,0.375,0.96875
233,2330.0,1.0,0.46875,0.96875
234,2340.0,1.0,0.34375,1.0
235,2350.0,0.9375,0.375,0.984375
236,2360.0,0.96875,0.40625,0.984375
237,2370.0,1.0,0.3125,0.9375
238,2380.0,1.0,0.40625,0.984375
239,2390.0,0.875,0.46875,0.9375
240,2400.0,0.96875,0.5625,0.984375
241,2410.0,0.90625,0.46875,0.96875
242,2420.0,0.90625,0.3125,0.96875
243,2430.0,0.96875,0.5,0.9375
244,2440.0,0.96875,0.40625,1.0
245,2450.0,0.96875,0.46875,0.953125
246,2460.0,0.9375,0.3125,1.0
247,2470.0,1.0,0.5,0.96875
248,2480.0,1.0,0.25,1.0
249,2490.0,1.0,0.46875,0.984375
250,2500.0,0.90625,0.53125,0.921875
251,2510.0,0.96875,0.46875,0.96875
252,2520.0,0.90625,0.3125,1.0
253,2530.0,0.90625,0.4375,0.984375
254,2540.0,0.96875,0.46875,0.953125
255,2550.0,0.96875,0.4375,0.953125
256,2560.0,0.875,0.4375,0.984375
257,2570.0,0.9375,0.53125,0.953125
258,2580.0,1.0,0.4375,0.953125
259,2590.0,0.9375,0.40625,0.9375
260,2600.0,0.90625,0.4375,0.984375
261,2610.0,0.9375,0.5625,0.96875
262,2620.0,1.0,0.5,0.9375
263,2630.0,0.96875,0.3125,0.96875
264,2640.0,0.96875,0.4375,1.0
265,2650.0,0.9375,0.5,1.0
266,2660.0,0.96875,0.34375,0.96875
267,2670.0,0.90625,0.53125,0.96875
268,2680.0,0.90625,0.53125,0.9375
269,2690.0,0.96875,0.46875,0.890625
270,2700.0,0.96875,0.5625,0.96875
271,2710.0,0.96875,0.53125,0.9375
272,2720.0,0.90625,0.5,0.953125
273,2730.0,0.9375,0.53125,0.984375
274,2740.0,0.9375,0.5625,1.0
275,2750.0,0.96875,0.40625,0.953125
276,2760.0,0.90625,0.4375,0.953125
277,2770.0,0.96875,0.4375,0.96875
278,2780.0,0.96875,0.46875,0.984375
279,2790.0,0.9375,0.5,0.984375
280,2800.0,0.9375,0.375,0.984375
281,2810.0,0.9375,0.4375,0.90625
282,2820.0,0.9375,0.4375,0.96875
