,step,loss,acc,fw_loss_wc,fw_loss_ac
0,0.0,2.3057172143607776,0.078125,0.001306135336498649,0.001965043524907304
1,10.0,2.2996875820000304,0.09375,0.0011603809300387783,0.0018217691639326
2,20.0,2.2950982847465573,0.046875,0.0013326389630908201,0.0020151104908828106
3,30.0,2.282907085740287,0.21875,0.001596265746972782,0.0024652054940632593
4,40.0,2.278216714333638,0.203125,0.0022779727841339874,0.003565386622785927
5,50.0,2.2623910113501378,0.21875,0.0035035360268287005,0.005284960042573717
6,60.0,2.2217169070509835,0.34375,0.0052623630448439,0.009228157452190019
7,70.0,2.205325781293175,0.25,0.0122934284457291,0.01754816875421704
8,80.0,2.0409097870565813,0.484375,0.03066459127413455,0.05074917316867942
9,90.0,1.6009204520892044,0.5,0.12679428307919835,0.20567497672642174
10,100.0,0.9487750157187956,0.703125,0.5060058725845589,0.9560944014181152
11,110.0,1.0405483040749766,0.703125,0.8757376139401457,1.5224720379908814
12,120.0,0.8651612518419167,0.75,0.6992391522342652,1.2906837000845437
13,130.0,0.4461537809594386,0.84375,0.8996880271835903,1.8304608746998936
14,140.0,0.5433728350666637,0.796875,1.0660431915595696,1.6641093023178057
15,150.0,0.6242063018473919,0.828125,0.8334583791875622,1.4430965959520148
16,160.0,0.5347240508115201,0.796875,0.832288466020505,1.57902484352521
17,170.0,0.3603798635950821,0.890625,0.9370748771777608,2.0068687741065125
18,180.0,0.31459315332505283,0.875,0.9266311638933568,1.9286645239523037
19,190.0,0.42312492573889726,0.890625,0.9303102608029283,1.683752397734101
20,200.0,0.3766474888977279,0.859375,0.9773428044124033,2.010672195919288
21,210.0,0.18240015026384904,0.9375,0.9895717156355891,1.9645401561461229
22,220.0,0.3529462188841245,0.90625,0.9558437720782135,1.8894854116531856
23,230.0,0.37266041263508,0.90625,1.044066781842518,1.8636650372406227
24,240.0,0.26139278471617394,0.921875,1.275293406122628,2.3729111568204266
25,250.0,0.17099480554318044,0.9375,1.0819894098168217,2.171002406416201
26,260.0,0.16742354966772152,0.9375,1.1163437883054708,2.036786455679169
27,270.0,0.12163278657012032,0.953125,1.2427668699716774,2.382664110671295
28,280.0,0.20924529356409333,0.9375,1.457090292625293,2.3927116188073025
29,290.0,0.155477168952444,0.953125,1.10656076414383,2.1450684692419313
30,300.0,0.21135197151111038,0.921875,1.081203785426845,2.2703333601272444
31,310.0,0.2885447927254104,0.921875,1.299450883525038,2.66331419425988
32,320.0,0.14715688828532492,0.9375,1.1386821160224694,2.3499834018275862
