,step,loss,acc
0,0.0,2.324127676257856,0.140625
1,1.0,2.3138385206812035,0.03125
2,2.0,2.3145593838871124,0.078125
3,3.0,2.296492399900051,0.0625
4,4.0,2.3117452071404783,0.109375
5,5.0,2.3047950615707613,0.140625
6,6.0,2.2903332003440657,0.109375
7,7.0,2.2919974070267095,0.109375
8,8.0,2.293427409680691,0.15625
9,9.0,2.304684268023957,0.140625
10,10.0,2.3076308679597046,0.046875
11,11.0,2.302604352369317,0.125
12,12.0,2.3062934884545636,0.09375
13,13.0,2.300545236483071,0.109375
14,14.0,2.3037251945814976,0.140625
15,15.0,2.2987486915067534,0.125
16,16.0,2.3033491533200112,0.125
17,17.0,2.3141358264097787,0.09375
18,18.0,2.3044282452063487,0.078125
19,19.0,2.3090013586712663,0.09375
20,20.0,2.306068377855074,0.078125
21,21.0,2.2930296988931262,0.125
22,22.0,2.318303829315515,0.046875
23,23.0,2.3110197349000634,0.03125
24,24.0,2.303236582469844,0.125
25,25.0,2.278645291103496,0.140625
26,26.0,2.299548758285132,0.0625
27,27.0,2.3087266685163503,0.046875
28,28.0,2.2942961723851036,0.140625
29,29.0,2.302109716087227,0.078125
30,30.0,2.296231097195387,0.125
31,31.0,2.291278277532579,0.125
32,32.0,2.2992262327403687,0.09375
33,33.0,2.2799783498081174,0.140625
34,34.0,2.304540011110361,0.125
35,35.0,2.2954529554822583,0.125
36,36.0,2.2828528458129353,0.109375
37,37.0,2.2949291516214534,0.078125
38,38.0,2.297254028120222,0.09375
39,39.0,2.2832293013788223,0.203125
40,40.0,2.2875176005098963,0.140625
41,41.0,2.2922445425411775,0.15625
42,42.0,2.2830791201706706,0.0625
43,43.0,2.278000213056422,0.203125
44,44.0,2.2835240103088816,0.203125
45,45.0,2.2826829768995958,0.265625
46,46.0,2.287849173147872,0.203125
47,47.0,2.2871009197470835,0.203125
48,48.0,2.2721709726132056,0.265625
49,49.0,2.2856144579958846,0.265625
50,50.0,2.282110931495468,0.203125
51,51.0,2.280922163729159,0.265625
52,52.0,2.2784954833708597,0.21875
53,53.0,2.2863440906160655,0.21875
54,54.0,2.2732776047451773,0.265625
55,55.0,2.275150879716301,0.25
56,56.0,2.290602828363283,0.25
57,57.0,2.2717356234057164,0.328125
58,58.0,2.2742553404829633,0.28125
59,59.0,2.271676868401992,0.265625
60,60.0,2.2712865352633815,0.25
61,61.0,2.275222704088281,0.265625
62,62.0,2.2507600413353903,0.390625
63,63.0,2.257840082368067,0.40625
64,64.0,2.247956396170994,0.40625
65,65.0,2.2686080806872138,0.28125
66,66.0,2.2663835441703366,0.328125
67,67.0,2.2531687975199004,0.453125
68,68.0,2.245370840916548,0.4375
69,69.0,2.2550882233116587,0.34375
70,70.0,2.2606292431783195,0.375
71,71.0,2.2371883905412737,0.421875
72,72.0,2.2646160203742633,0.390625
73,73.0,2.2379032009693702,0.40625
74,74.0,2.2218777167231094,0.46875
75,75.0,2.2189380175423525,0.515625
